artist_id,artist_name,rank_listeners,monitored_on
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1,7/4/2026
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2,7/4/2026
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,3,7/4/2026
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,4,7/4/2026
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,5,7/4/2026
06HL4z0CvFAxyc27GXpf02,Taylor Swift,6,7/4/2026
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,7,7/4/2026
0EmeFodog0BfCgMzAIvKQp,Shakira,8,7/4/2026
4q3ewBCX7sLwd24euuV69X,Bad Bunny,9,7/4/2026
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,10,7/4/2026
3TVXtAsR1Inumwj472S9r4,Drake,11,7/4/2026
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,12,7/4/2026
6jJ0s89eD6GaHleKKya26X,Katy Perry,13,7/4/2026
0TnOYISbd1XYRBk9myaseg,Pitbull,14,7/4/2026
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,15,7/4/2026
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,16,7/4/2026
7CajNmpbOovFoOoasH2HaY,Calvin Harris,17,7/4/2026
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,18,7/4/2026
04gDigrS5kc9YWfZHwBETP,Maroon 5,19,7/4/2026
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,20,7/4/2026
7dGJo4pcD2V6oG8kP0tJRR,Eminem,21,7/4/2026
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,22,7/4/2026
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,23,7/4/2026
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,24,7/4/2026
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,25,7/4/2026
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,26,7/4/2026
7tYKF4w9nC0nq9CsPZTHyP,SZA,27,7/4/2026
5WUlDfRSoLAfcVSX1WnrxN,Sia,28,7/4/2026
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,29,7/4/2026
6KImCVD70vtIoJWnq6nGn3,Harry Styles,30,7/4/2026
00FQb4jTyendYWaN8pK0wa,Lana Del Ray,31,7/4/2026
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,32,7/4/2026
3Isy6kedDrgPYoTS1dazA9,Sean Paul,33,7/4/2026
5INjqkS1o8h1imAzPqGZBb,Tame Impala,34,7/4/2026
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,35,7/4/2026
246dkjvS1zLTtiykXe5h60,Post Malone,36,7/4/2026
6vWDO969PvNqNYHIOW5v0m,Beyonce,37,7/4/2026
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,38,7/4/2026
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,39,7/4/2026
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,40,7/4/2026
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,41,7/4/2026
31TPClRtHm23RisEBtV3X7,Justin Timberlake,42,7/4/2026
4G9NDjRyZFDlJKMRL8hx3S,Sombr,43,7/4/2026
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,44,7/4/2026
4dpARuHxo51G3z768sgnrY,Adele,45,7/4/2026
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,46,7/4/2026
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,47,7/4/2026
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,48,7/4/2026
2wY79sveU1sp5g7SokKOiI,Sam Smith,49,7/4/2026
6LuN9FCkKOj5PcnpouEgny,Khalid,50,7/4/2026
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,51,7/4/2026
1RyvyyTE3xzB2ZywiAwp0i,Future,52,7/4/2026
6tbjWDEIzxoDsBA1FuhfPW,Madonna,53,7/4/2026
3PhoLpVuITZKcymswpck5b,Elton John,54,7/4/2026
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,55,7/4/2026
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,56,7/4/2026
